1000;6193.8830839;23689.0583652;3240.148527
1500;6081.7967119;42511.0574931;4850.761263
2000;6095.9373962;57740.9977311;6457.179695
2500;6029.990888;70873.8144538;8067.792431
3000;6110.8794281;86884.4051842;9674.210863
3500;6042.8673078;101228.2177735;11280.629295
4000;6053.4621119;117854.2518935;12891.242031
4500;6098.1981152;132561.2985862;14501.854767
5000;6035.001971;146372.9420345;16108.273199
5500;6046.453039;161123.3783801;17714.691631
6000;6065.843406;177996.1289475;19325.304367
6500;6109.8416658;191605.1299906;20935.917103
7000;6118.8062259;208014.579934;22542.335535
7500;6094.1135714;222720.6106618;24152.948271
8000;6076.8284408;237314.2888524;25759.366703
8500;6092.3236072;250431.1089487;27365.785135
9000;6041.4656042;267597.0551692;28976.397871
9500;6074.1902132;288491.2434898;30582.816303
10000;6004.3346985;308077.7290633;32193.429039
